question_id,question,paraphrased,score
0,Should paedophiles and psychopaths be treated as criminals who knowingly break moral guidelines and federal law or as abnormal people who should be studied and accordingly treated?,"Should pedophiles and psychopaths be regarded as criminals who intentionally disregard moral rules and federal laws, or as abnormal individuals who require research-oriented treatment?",0.869631847979859
0,Should paedophiles and psychopaths be treated as criminals who knowingly break moral guidelines and federal law or as abnormal people who should be studied and accordingly treated?,Pedophiles and psychopaths should be treated as individuals who consciously break ethical guidelines and federal statutes or as abnormal people demanding research and appropriate care?,0.866288917064666
0,Should paedophiles and psychopaths be treated as criminals who knowingly break moral guidelines and federal law or as abnormal people who should be studied and accordingly treated?,Pedophiles and psychopaths: should they be looked upon as lawbreakers who intentionally disregard moral principles and federal legislation or as abnormal individuals that require research and appropriate treatment?,0.841089742183685
0,Should paedophiles and psychopaths be treated as criminals who knowingly break moral guidelines and federal law or as abnormal people who should be studied and accordingly treated?,Pedophiles and psychopaths: should they be treated as lawbreakers who intentionally flout moral standards and federal regulations or as abnormal individuals in need of research and suitable treatment?,0.836568253040313
0,Should paedophiles and psychopaths be treated as criminals who knowingly break moral guidelines and federal law or as abnormal people who should be studied and accordingly treated?,Should individuals with pedophilia and psychopathy be considered as criminals who willingly violate moral principles and federal legislation or as abnormal people who deserve research and appropriate treatment?,0.8294747638702391
1,If you were diagnosed with a terminal illness would you be tempted to break bad?,"Considering that you were diagnosed with a terminal illness, would you feel tempted to break societal norms?",0.7965701563017701
1,If you were diagnosed with a terminal illness would you be tempted to break bad?,Would you feel the urge to act immorally if you were diagnosed with a deadly illness?,0.7826330828666681
1,If you were diagnosed with a terminal illness would you be tempted to break bad?,"What if you were diagnosed with a terminal illness, would you be inclined to act in a way that defies societal expectations?",0.765289621353149
1,If you were diagnosed with a terminal illness would you be tempted to break bad?,"If you discovered that you had a terminal illness, would you be enticed to stray from righteousness?",0.7572617101669311
1,If you were diagnosed with a terminal illness would you be tempted to break bad?,"What if you were diagnosed with a lethal condition, would you be inclined to deviate from the right path?",0.7521882224082941
2,"What is your experience with discrimination, be it as a victim, perpetrator or bystander?","What is your role in discrimination, whether as a victim, perpetrator, or bystander?",0.865609014818794
2,"What is your experience with discrimination, be it as a victim, perpetrator or bystander?","How would you characterize your interaction with discrimination, whether as a victim, perpetrator, or bystander?",0.827693407146298
2,"What is your experience with discrimination, be it as a victim, perpetrator or bystander?","How do you perceive your connection with discrimination, whether as a victim, cause, or bystander?",0.811390476226806
2,"What is your experience with discrimination, be it as a victim, perpetrator or bystander?","What is your relationship with discrimination, whether as a recipient, cause, or onlooker?",0.807694869041442
2,"What is your experience with discrimination, be it as a victim, perpetrator or bystander?","What have you been involved in concerning discrimination, whether as a target, cause, or bystander?",0.775938229560852
3,"What is wrong with being a ""karma whore""?","What's wrong with being described as a ""karma whore""?",0.9150185424683871
3,"What is wrong with being a ""karma whore""?","What's wrong with having a reputation as a ""karma whore""?",0.905645506381988
3,"What is wrong with being a ""karma whore""?","What is the issue with being a ""karma whore""?",0.905598425183977
3,"What is wrong with being a ""karma whore""?","What's problematic about being a ""karma whore""?",0.9027925773956851
3,"What is wrong with being a ""karma whore""?","What's the problem with being labeled a ""karma whore""?",0.8725871750286641
4,"If your country was ruined by war and you're suffering from starvation, would you be willing to eat your pet?",Would you be willing to resort to eating your pet if your country were ravaged by war and you were experiencing widespread starvation?,0.853538053035736
4,"If your country was ruined by war and you're suffering from starvation, would you be willing to eat your pet?","If your country endured catastrophic damage due to war and starvation was prevalent, would you be willing to resort to eating your pet for survival?",0.83192791223526
4,"If your country was ruined by war and you're suffering from starvation, would you be willing to eat your pet?","If your country faced devastation due to war and starvation was rampant, would you consider eating your pet as a last resort?",0.78871502161026
4,"If your country was ruined by war and you're suffering from starvation, would you be willing to eat your pet?","What if your country was destroyed by conflict and you were experiencing starvation, leading you to consider consuming your pet for survival?",0.7780919241905211
4,"If your country was ruined by war and you're suffering from starvation, would you be willing to eat your pet?",How would you feel about the prospect of eating your pet if your country was destroyed by war and you were facing food scarcity?,0.7550430464744561
5,"Which of your in-laws do you dislike, and why?",Which in-law do you feel negatively towards and why?,0.7962694931030271
5,"Which of your in-laws do you dislike, and why?",Which in-law do you hold in low esteem and why?,0.778806822299957
5,"Which of your in-laws do you dislike, and why?","Among your in-laws, who do you have a low opinion of and why?",0.7713056969642631
5,"Which of your in-laws do you dislike, and why?","What family member of your spouse do you have a dislike for, and why?",0.7345274257659911
5,"Which of your in-laws do you dislike, and why?","Which family member of your spouse do you have a problem with, and why?",0.7331981825828551
6,Would incontrovertible proof of extraterrestrials eradicate religion?,Could incontrovertible proof of extraterrestrials lead to the dissolution of religion?,0.9050834580117281
6,Would incontrovertible proof of extraterrestrials eradicate religion?,How might religious institutions evolve with incontrovertible proof of extraterrestrials?,0.875954823493957
6,Would incontrovertible proof of extraterrestrials eradicate religion?,"Can you provide a rephrased version of ""Would incontrovertible evidence of extraterrestrials eradicate religion?""",0.818448917865753
6,Would incontrovertible proof of extraterrestrials eradicate religion?,Would the revelation of extraterrestrials be detrimental to religious faith?,0.7696809935569761
6,Would incontrovertible proof of extraterrestrials eradicate religion?,Could evidence of extraterrestrial beings bring an end to religious dogma?,0.7679290938377381
7,"Do you think if you lose or gain a language from a particular culture, you change the way you see yourself?",Do you think losing or gaining a cultural language could potentially change the way a person views themselves?,0.764540331363677
