question_id,question,paraphrased,score
5884,What do you do when you see an endangered animal that is eating an endangered plant?,What should you do when confronted by a threatened animal feeding on an endangered plant?,0.8387567568
5884,What do you do when you see an endangered animal that is eating an endangered plant?,How can one respond when encountering an endangered species consuming a critically endangered plant?,0.7762524056
5884,What do you do when you see an endangered animal that is eating an endangered plant?,In what way should you react when a rare animal is consuming a rare plant species?,0.7694580126
5884,What do you do when you see an endangered animal that is eating an endangered plant?,How can one best respond when an endangered species is eating an endangered plant species?,0.7660281825
5884,What do you do when you see an endangered animal that is eating an endangered plant?,What should be done if a threatened species is eating a threatened plant species?,0.7622501421
46,"Given the delicate balance of the world's economy, what are the chances of another global war?",What are the probabilities of another world war in light of the delicate equilibrium of the world's economic system?,0.8064169455
46,"Given the delicate balance of the world's economy, what are the chances of another global war?",How does the precarious state of the global economy affect the likelihood of another world war?,0.7667774725
46,"Given the delicate balance of the world's economy, what are the chances of another global war?",Could the delicate balance of the world's economy have an impact on the occurrence of another world war?,0.7636023914
46,"Given the delicate balance of the world's economy, what are the chances of another global war?",How does the economic condition of the world affect the chances of another global conflict?,0.7545061874
46,"Given the delicate balance of the world's economy, what are the chances of another global war?",To what extent does the economic situation of the world determine the likelihood of another global war?,0.7493387032
9396,"If I buy a church, would it be illegal for me to ring the bells all the time?","If I own a church, will ringing its bells all the time be considered an offense?",0.787065165
9396,"If I buy a church, would it be illegal for me to ring the bells all the time?","If I acquire a church, is it prohibited to ring its bells incessantly?",0.7685694861
9396,"If I buy a church, would it be illegal for me to ring the bells all the time?","If I own a church, is it permissible to ring its bells incessantly without violation of the law?",0.7353543806
9396,"If I buy a church, would it be illegal for me to ring the bells all the time?","If I acquire ownership of a church, could I face prosecution for frequently ringing its bells?",0.7196340132
9396,"If I buy a church, would it be illegal for me to ring the bells all the time?",Suppose I purchase a church; is there a restriction on frequently ringing its bells?,0.6959376502
9309,"The Nazi Party in Germany used the Democratic system to get in power, should anti-democratic political forces be allowed in Democracies?","The Nazi Party in Germany utilized democracy to achieve power, should anti-democratic groups be allowed in democratic nations?",0.8928839164
9309,"The Nazi Party in Germany used the Democratic system to get in power, should anti-democratic political forces be allowed in Democracies?","The Nazi Party in Germany utilized democratic processes to attain power, should anti-democratic groups be permitted within democratic nations?",0.8924501705
9309,"The Nazi Party in Germany used the Democratic system to get in power, should anti-democratic political forces be allowed in Democracies?","The Nazi Party in Germany used democratic mechanisms to take control, should anti-democratic political forces be allowed in democratic systems?",0.8921543058
9309,"The Nazi Party in Germany used the Democratic system to get in power, should anti-democratic political forces be allowed in Democracies?","The Nazi Party in Germany took advantage of democracy to come to power, should anti-democratic forces be allowed in democratic systems?",0.8904615371
9309,"The Nazi Party in Germany used the Democratic system to get in power, should anti-democratic political forces be allowed in Democracies?","The Nazi Party in Germany leveraged democratic processes to acquire power, should anti-democratic groups be allowed in democratic systems?",0.8845791873
900,"What would our civilization look like after a century or two without any type of religion dictating our values, such as family, money and solidarity?","How might society appear after a century or two without religion influencing values such as family, wealth, and unity?",0.8305843043
900,"What would our civilization look like after a century or two without any type of religion dictating our values, such as family, money and solidarity?","How would society look after a century or two without religious influence on values like family, wealth, and solidarity?",0.8237343001
900,"What would our civilization look like after a century or two without any type of religion dictating our values, such as family, money and solidarity?","What could society be after a century or two with no religious impact on values, such as family, wealth, and cohesion?",0.8236386347
900,"What would our civilization look like after a century or two without any type of religion dictating our values, such as family, money and solidarity?","How might society change in a century or two without religious influence on values, such as family, wealth, and solidarity?",0.80628057
900,"What would our civilization look like after a century or two without any type of religion dictating our values, such as family, money and solidarity?","Think about what society would be like after a century or two without religion shaping values like family, wealth, and unity.",0.8032241035
988,The United States just got involved in WWII. You have control of Nazi forces. How do you win the war for Germany?,"With the United States entering WWII, how can Germany effectively win the war?",0.7275229263
988,The United States just got involved in WWII. You have control of Nazi forces. How do you win the war for Germany?,How can Nazi forces in Germany secure victory in WWII with the United States now involved?,0.6965934205
988,The United States just got involved in WWII. You have control of Nazi forces. How do you win the war for Germany?,How can Germany secure victory over the United States in WWII?,0.6890164185
