question_id,paraphrased_1,model_output_1,rot_1,paraphrased_2,model_output_2,rot_2,bleu_model_output,rouge_model_output,cosine_model_output,bleu_rot,rouge_rot,cosine_rot
1,"Do you follow the ""bro code"" or ""girl code"" when determining who you'll be romantically involved with?","Personal decisions regarding romantic involvement vary from individual to individual. While some may consider the ""bro code"" or ""girl code"" as factors, it ultimately depends on personal values and beliefs, as well as mutual consent and respect for all parties involved.","When making personal decisions about romantic involvement, prioritize mutual respect and consent over arbitrary expectations like the ""bro code"" or ""girl code.""","Do the ""bro code"" or ""girl code"" play a role in who you choose to date?","The ""bro code"" and ""girl code"" can influence dating choices to some extent, as they involve unwritten rules and loyalty among friends. However, personal values, preferences, and individual connections with others play a more significant role in determining a person's choice of partner. It is essential to respect consent and prioritize open communication in any relationship.",Be mindful of friendship codes and prioritize personal values and connections in dating choices. Respect consent and prioritize open communication in any relationship.,0.014503107473696394,0.22448979591836735,0.8187994360923767,0.011712916466550741,0.1333333333333333,0.7755724430084229
1,"Do you follow the ""bro code"" or ""girl code"" when determining who you'll be romantically involved with?","Personal decisions regarding romantic involvement vary from individual to individual. While some may consider the ""bro code"" or ""girl code"" as factors, it ultimately depends on personal values and beliefs, as well as mutual consent and respect for all parties involved.","When making personal decisions about romantic involvement, prioritize mutual respect and consent over arbitrary expectations like the ""bro code"" or ""girl code.""","Is the ""bro code"" or ""girl code"" relevant in determining your love interest?","The ""bro code"" and ""girl code"" can provide guidance and support when it comes to friendships and mutual respect, but they should not be the sole determining factor in matters of love and attraction. It is crucial to prioritize open communication, mutual consent, and individual feelings and desires when considering a potential romantic interest.","Before pursuing a romantic interest, consider open communication, mutual consent, and individual feelings and desires, rather than solely relying on ""bro code"" or ""girl code"" for guidance.",0.013334969390643912,0.21052631578947367,0.7971646785736084,0.09992869870690119,0.32653061224489793,0.7870044946670534
1,"Do you follow the ""bro code"" or ""girl code"" when determining who you'll be romantically involved with?","Personal decisions regarding romantic involvement vary from individual to individual. While some may consider the ""bro code"" or ""girl code"" as factors, it ultimately depends on personal values and beliefs, as well as mutual consent and respect for all parties involved.","When making personal decisions about romantic involvement, prioritize mutual respect and consent over arbitrary expectations like the ""bro code"" or ""girl code.""","Is the ""bro code"" or ""girl code"" relevant when it comes to choosing your love interest?","The ""bro code"" or ""girl code"" can serve as guidelines for friendship and loyalty, but when it comes to choosing a love interest, personal feelings and mutual consent are more important factors to consider.","Before making a choice that could impact both your friendships and relationships, consult your feelings and those involved to ensure that everyone's happiness is considered.",0.11344167242814311,0.32,0.8076798915863037,0.009009113474307318,0.08333333333333334,0.7113722801208496
1,"Do you follow the ""bro code"" or ""girl code"" when determining who you'll be romantically involved with?","Personal decisions regarding romantic involvement vary from individual to individual. While some may consider the ""bro code"" or ""girl code"" as factors, it ultimately depends on personal values and beliefs, as well as mutual consent and respect for all parties involved.","When making personal decisions about romantic involvement, prioritize mutual respect and consent over arbitrary expectations like the ""bro code"" or ""girl code.""","Do you think the ""bro code"" or ""girl code"" affects your dating preferences?","The ""bro code"" or ""girl code"" can influence dating preferences to an extent. These unwritten rules are often rooted in loyalty and support among friends, but they can also perpetuate stereotypes and restrict individual choices. While some people may adhere to these codes, others prioritize personal values and preferences, ultimately shaping their dating decisions in unique ways.",Follow personal values over adhering to unwritten rules in dating.,0.09859892260621728,0.18367346938775508,0.7140539884567261,0.007559559445663099,0.12500000000000003,0.675600552558899
1,"Do the ""bro code"" or ""girl code"" play a role in who you choose to date?","The ""bro code"" and ""girl code"" can influence dating choices to some extent, as they involve unwritten rules and loyalty among friends. However, personal values, preferences, and individual connections with others play a more significant role in determining a person's choice of partner. It is essential to respect consent and prioritize open communication in any relationship.",Be mindful of friendship codes and prioritize personal values and connections in dating choices. Respect consent and prioritize open communication in any relationship.,"Is the ""bro code"" or ""girl code"" relevant in determining your love interest?","The ""bro code"" and ""girl code"" can provide guidance and support when it comes to friendships and mutual respect, but they should not be the sole determining factor in matters of love and attraction. It is crucial to prioritize open communication, mutual consent, and individual feelings and desires when considering a potential romantic interest.","Before pursuing a romantic interest, consider open communication, mutual consent, and individual feelings and desires, rather than solely relying on ""bro code"" or ""girl code"" for guidance.",0.14563911405192206,0.3063063063063063,0.8441368341445923,0.009186672262412125,0.07999999999999999,0.7887013912200929
1,"Do the ""bro code"" or ""girl code"" play a role in who you choose to date?","The ""bro code"" and ""girl code"" can influence dating choices to some extent, as they involve unwritten rules and loyalty among friends. However, personal values, preferences, and individual connections with others play a more significant role in determining a person's choice of partner. It is essential to respect consent and prioritize open communication in any relationship.",Be mindful of friendship codes and prioritize personal values and connections in dating choices. Respect consent and prioritize open communication in any relationship.,"Is the ""bro code"" or ""girl code"" relevant when it comes to choosing your love interest?","The ""bro code"" or ""girl code"" can serve as guidelines for friendship and loyalty, but when it comes to choosing a love interest, personal feelings and mutual consent are more important factors to consider.","Before making a choice that could impact both your friendships and relationships, consult your feelings and those involved to ensure that everyone's happiness is considered.",0.03000233822798784,0.28571428571428564,0.8381466865539551,0.009009113474307318,0.12244897959183673,0.7659324109554291
1,"Do the ""bro code"" or ""girl code"" play a role in who you choose to date?","The ""bro code"" and ""girl code"" can influence dating choices to some extent, as they involve unwritten rules and loyalty among friends. However, personal values, preferences, and individual connections with others play a more significant role in determining a person's choice of partner. It is essential to respect consent and prioritize open communication in any relationship.",Be mindful of friendship codes and prioritize personal values and connections in dating choices. Respect consent and prioritize open communication in any relationship.,"Do you think the ""bro code"" or ""girl code"" affects your dating preferences?","The ""bro code"" or ""girl code"" can influence dating preferences to an extent. These unwritten rules are often rooted in loyalty and support among friends, but they can also perpetuate stereotypes and restrict individual choices. While some people may adhere to these codes, others prioritize personal values and preferences, ultimately shaping their dating decisions in unique ways.",Follow personal values over adhering to unwritten rules in dating.,0.11132315618069799,0.3684210526315789,0.9193066358566284,0.013461388338273013,0.24242424242424243,0.8697434186935425
1,"Is the ""bro code"" or ""girl code"" relevant in determining your love interest?","The ""bro code"" and ""girl code"" can provide guidance and support when it comes to friendships and mutual respect, but they should not be the sole determining factor in matters of love and attraction. It is crucial to prioritize open communication, mutual consent, and individual feelings and desires when considering a potential romantic interest.","Before pursuing a romantic interest, consider open communication, mutual consent, and individual feelings and desires, rather than solely relying on ""bro code"" or ""girl code"" for guidance.","Is the ""bro code"" or ""girl code"" relevant when it comes to choosing your love interest?","The ""bro code"" or ""girl code"" can serve as guidelines for friendship and loyalty, but when it comes to choosing a love interest, personal feelings and mutual consent are more important factors to consider.","Before making a choice that could impact both your friendships and relationships, consult your feelings and those involved to ensure that everyone's happiness is considered.",0.08625817729292373,0.3636363636363636,0.9295928478240967,0.01859616970116456,0.18867924528301885,0.8097695708274841
1,"Is the ""bro code"" or ""girl code"" relevant in determining your love interest?","The ""bro code"" and ""girl code"" can provide guidance and support when it comes to friendships and mutual respect, but they should not be the sole determining factor in matters of love and attraction. It is crucial to prioritize open communication, mutual consent, and individual feelings and desires when considering a potential romantic interest.","Before pursuing a romantic interest, consider open communication, mutual consent, and individual feelings and desires, rather than solely relying on ""bro code"" or ""girl code"" for guidance.","Do you think the ""bro code"" or ""girl code"" affects your dating preferences?","The ""bro code"" or ""girl code"" can influence dating preferences to an extent. These unwritten rules are often rooted in loyalty and support among friends, but they can also perpetuate stereotypes and restrict individual choices. While some people may adhere to these codes, others prioritize personal values and preferences, ultimately shaping their dating decisions in unique ways.",Follow personal values over adhering to unwritten rules in dating.,0.03830034701552279,0.2522522522522523,0.768521785736084,0.0,0.0,0.6928371071815491
1,"Is the ""bro code"" or ""girl code"" relevant when it comes to choosing your love interest?","The ""bro code"" or ""girl code"" can serve as guidelines for friendship and loyalty, but when it comes to choosing a love interest, personal feelings and mutual consent are more important factors to consider.","Before making a choice that could impact both your friendships and relationships, consult your feelings and those involved to ensure that everyone's happiness is considered.","Do you think the ""bro code"" or ""girl code"" affects your dating preferences?","The ""bro code"" or ""girl code"" can influence dating preferences to an extent. These unwritten rules are often rooted in loyalty and support among friends, but they can also perpetuate stereotypes and restrict individual choices. While some people may adhere to these codes, others prioritize personal values and preferences, ultimately shaping their dating decisions in unique ways.",Follow personal values over adhering to unwritten rules in dating.,0.11537786210468567,0.2637362637362637,0.7646312713623047,0.004709238035176906,0.05555555555555555,0.673408854007721
